model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.08225390991557432
ar,exact,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.0729481110360883
ar,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.092510887819583
ar,exact,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.0755366207987636
ar,exact,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.07445102416748643
ar,exact,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.0684695138011854
ar,exact,pre_third,DELTA_MT,0.0,4,0.25,0.5,1,0,3,0,0.22777606681308718,0.543833812618608
ar,exact,pre_third,DELTA_MT,0.1,2,0.5,0.5,1,0,1,0,0.410550345817175,0.6710987461893658
ar,exact,pre_third,DELTA_MT,0.2,2,0.5,0.5,1,0,1,0,0.410550345817175,0.6710987461893658
ar,pseudo,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.08225390991557432
ar,pseudo,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.0729481110360883
ar,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.092510887819583
ar,pseudo,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.0755366207987636
ar,pseudo,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.07445102416748643
ar,pseudo,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.0684695138011854
