model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,0.5650492032192075,0.4009383312878246,0.0257923808265668,0.8332312445906385,0.0698098895977489,0.5822784810126582,0.9493670886075948,54.063291139240505,9.891985694047056e-05,9.622525872559028e-05,0.0002497264417343
no_revision,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.8400344207902792,0.1379643409208686,0.0,1.0,32.48101265822785,9.241286176777104e-05,9.533424172378196e-05,9.998334228568146e-05
standard_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223114,0.4275288832410043,-0.0083203786523863,0.9461832115424668,0.7003278430952298,0.5949367088607594,1.0,0.0,,,
release_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223114,0.4275288832410043,-0.0083203786523863,0.9461832115424668,0.7003278430952298,0.5949367088607594,1.0,0.0,,,
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,0.6426043500091648,0.4681145142288169,0.0734551147853416,0.9475953939709824,0.6854545892744475,0.620253164556962,1.0,34.0253164556962,9.10981691521547e-05,9.399412874077894e-05,9.974882775061016e-05
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.647382624207349,0.4515991479564032,0.0823604410159837,0.9546415190419772,0.7232610058226263,0.6075949367088608,1.0,26.81012658227848,9.295453228646522e-05,9.46014341176269e-05,9.993619729265816e-05
ar,exact,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,
bridge,exact,pre_advance,DELTA_SA,79,0.7182954588874345,0.4981139843812445,-8.351340754924108e-05,1.0592108010820322,0.5886505918118786,0.5316455696202531,1.0,0.0,,,
midas_umidas,exact,pre_advance,DELTA_SA,79,13.866667467379608,7.93109405552623,0.9838526443098988,20.44802563448066,0.0026899110965452,0.430379746835443,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3613388505314374,0.2380469793886004,-0.0505173036253553,0.8858163768964118,0.0933115529590905,0.569620253164557,1.0,27.18987341772152,9.311152749042536e-05,9.413889363519048e-05,9.980025457216734e-05
no_revision,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.237986075949367,-0.0544341772151898,0.8859230727429768,0.0909537041511906,0.0,1.0,0.0,,,
