model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
midas_umidas,pseudo,pre_second,S,79,4.762771639416986,2.056091631828908,0.3916317728814475,0.6860692036372872,0.2949752830466134,0.8734177215189873,1.0,0.0,,,
ar,pseudo,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,
no_revision,pseudo,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,0.3695594597533736,0.2603802064190587,-0.0153761987858432,0.053919585257593,0.1487742055084394,1.0,0.925,51.925,0.000107925327043,9.73389625643959e-05,0.0003633765341161
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,0.3737601770502209,0.2438935292218556,-0.049600285636346,0.0545324796875761,0.1487934855230557,1.0,1.0,32.625,9.197566959337544e-05,9.4651221587102e-05,9.999513785995588e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,0.3741349569074001,0.24769162817857,-0.0391961926926613,0.0545871609409676,0.1488041522279635,1.0,1.0,34.6375,9.311549561571838e-05,9.471667539915303e-05,9.991461350181152e-05
revision_dfm_kalman_em,pseudo,pre_third,T,80,0.3745461426519558,0.2467276827868619,-0.0393373684504079,0.0546471538980551,0.1488036218869028,1.0,1.0,26.0875,9.249485546948433e-05,9.453822771534236e-05,9.99829784145285e-05
release_dfm,pseudo,pre_third,T,80,0.4446354112046444,0.2866479518602379,-0.004369775270577,0.0648733412993764,0.1492100595191605,1.0,1.0,0.0,,,
standard_dfm,pseudo,pre_third,T,80,2.906128566370332,1.6923315853777292,0.6300497207873997,0.4240109212966813,0.1930971600572908,0.925,1.0,0.0,,,
bridge,pseudo,pre_third,T,80,4.398694165093339,2.023836204423721,-0.0372443919640486,0.6417797158138154,0.1845357697294485,0.9,1.0,0.0,,,
midas_umidas,pseudo,pre_third,T,80,6.186914482958165,2.466880937795325,0.3828185062853511,0.9026852219340452,0.3847185977534022,0.875,1.0,0.0,,,
ar,pseudo,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,
