subsample,model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,ar,exact,pre_advance,DELTA_SA,4,0.22261772186622356,0.14550314039374757,0.11387890991557434,0.75,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_second,DELTA_TS,4,0.09838748104696876,0.08036008454753382,-0.06001337920123627,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_third,DELTA_MT,4,0.6295988853033145,0.48949340268920727,0.3896897513886399,0.5,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_advance,DELTA_SA,4,0.22261772186622356,0.14550314039374757,0.11387890991557434,0.75,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_second,DELTA_TS,4,0.09838748104696876,0.08036008454753382,-0.06001337920123627,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_third,DELTA_MT,4,0.6295988853033145,0.48949340268920727,0.3896897513886399,0.5,1.0,0.0,,,,1.0,1.0
full_sample,bridge,exact,pre_advance,DELTA_SA,4,0.19628861445707124,0.15481162521728045,0.04306961256276395,0.75,1.0,0.0,,,,0.8817295083768123,
full_sample,bridge,exact,pre_second,DELTA_TS,4,0.20399069804743666,0.1831455656700534,-0.16929848440497725,0.5,1.0,0.0,,,,2.0733399806226815,
full_sample,bridge,exact,pre_third,DELTA_MT,4,0.5552759332896955,0.4788809447099557,0.25756770551075003,0.5,1.0,0.0,,,,0.8819519002518352,
full_sample,bridge,pseudo,pre_advance,DELTA_SA,4,0.20351669725741944,0.16209213233892,0.03387444774280381,0.75,1.0,0.0,,,,0.9141980950632386,
full_sample,bridge,pseudo,pre_second,DELTA_TS,4,0.21035685500519022,0.18749018494258132,-0.17628347107023498,0.25,1.0,0.0,,,,2.1380449297687467,
full_sample,bridge,pseudo,pre_third,DELTA_MT,4,0.5596576679280534,0.48304271888617656,0.2595001869190048,0.5,1.0,0.0,,,,0.8889114656841135,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,0.0,0.0,2.0,0.09494251265240683,0.0949333011772937,0.0952356167529399,0.8319995210226065,
