model_id,timing_mode,checkpoint_id,outcome_id,forecast_origin,forecast_origin_date,target_quarter,forecast_value,realized_value,forecast_error,calibration_n,predictive_variance,predictive_sd,log_score,crps,lower_68,upper_68,covered_68,lower_90,upper_90,covered_90,density_method
ar,exact,pre_advance,A,2008:Q1:pre_advance:exact,2008-04-29,2008:Q1,1.6969903269109072,0.5974,1.0995903269109073,12,2.829429303501242,1.6820907536459626,-1.6526408481297332,0.6700671558747763,0.014899573264944621,3.37908108055687,True,-1.0698027500851897,4.463783403907004,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2008:Q2:pre_advance:exact,2008-07-30,2008:Q2,1.668900406211416,1.8886,-0.2196995937885841,13,2.6738313958798288,1.6351854316498262,-1.4197207276138615,0.39389304119297536,0.033714974561589894,3.3040858378612423,True,-1.020740281776009,4.358541094198841,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2008:Q3:pre_advance:exact,2008-10-29,2008:Q3,2.293316691295042,-0.2522,2.5455166912950418,14,2.4782948572836694,1.5742600983584858,-2.680004849100822,1.727636785892968,0.7190565929365562,3.867576789653528,False,-0.2961107412548949,4.882744123844979,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2008:Q4:pre_advance:exact,2009-01-29,2008:Q4,1.242601576815071,-3.8037,5.046301576815071,15,2.6901869327167622,1.6401789331401504,-6.1467160139720445,4.121883393843465,-0.3975773563250793,2.8827805099552215,False,-1.4552526902099017,3.940455843840044,False,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2009:Q1:pre_advance:exact,2009-04-28,2009:Q1,-0.560711208882571,-6.1437,5.582988791117429,16,3.924008903077622,1.9809111295254065,-5.57416887395641,4.4682136654335,-2.5416223384079775,1.4201999206428355,False,-3.8190200649509736,2.697597647185831,False,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2009:Q2:pre_advance:exact,2009-07-30,2009:Q2,-1.9285959860780209,-1.0173,-0.9112959860780208,17,5.146151086414406,2.268512968094828,-1.8187505934827937,0.6742526668857097,-4.197108954172849,0.3399169820168073,True,-5.659967769435248,1.8027757972792064,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2009:Q3:pre_advance:exact,2009-10-28,2009:Q3,0.7230708989235709,3.5339,-2.810829101076429,18,5.0221422503761275,2.24101366581646,-2.5124594634153206,1.7711912491026247,-1.5179427668928889,2.964084564740031,False,-2.9630685573424476,4.40921035518959,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2009:Q4:pre_advance:exact,2010-01-28,2009:Q4,3.0489331608262917,5.7309,-2.6819668391737084,19,5.422745096170093,2.3286788306183603,-2.4274596256394245,1.656393194857255,0.7202543302079314,5.3776119914446525,False,-0.7814026597214312,6.879268981374015,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2010:Q1:pre_advance:exact,2010-04-29,2010:Q1,4.173936693115149,3.2387,0.9352366931151486,20,5.673756941570443,2.3819649329010795,-1.8639443970674208,0.7012932101264326,1.7919717602140692,6.555901626016228,True,0.2559530339615881,8.091920352268708,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2010:Q2:pre_advance:exact,2010-07-29,2010:Q2,2.910267276883183,2.3866,0.5236672768831832,21,5.402239733102709,2.3242718715982233,-1.7877262500584905,0.590041455838554,0.5859954052849599,5.234539148481407,True,-0.9128197411364409,6.733354294902807,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2010:Q3:pre_advance:exact,2010-10-28,2010:Q3,2.4788331064407743,2.0097,0.4691331064407742,22,5.145212372029453,2.268306057839077,-1.7593592989959748,0.568662329226631,0.21052704860169724,4.747139164279851,True,-1.2521983398318275,6.209864552713376,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2010:Q4:pre_advance:exact,2011-01-27,2010:Q4,2.286700159857185,3.173,-0.886299840142815,23,4.911345550904534,2.2161555791289866,-1.79468319900927,0.6574564927239761,0.07054458072819836,4.502855738986172,True,-1.3585513823618691,5.931951702076239,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2011:Q1:pre_advance:exact,2011-04-27,2011:Q1,2.8763506867146234,1.7482,1.1281506867146234,24,4.773046570750931,2.184730319913863,-1.833754998838643,0.737936313103927,0.6916203668007603,5.061081006628486,True,-0.7172109039065444,6.469912277335791,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2011:Q2:pre_advance:exact,2011-07-28,2011:Q2,2.154458004406833,1.2822,0.8722580044068331,25,4.595291885203722,2.1436631930421632,-1.7642387517275309,0.6406351201771276,0.010794811364669865,4.298121197448996,True,-1.3715541736309431,5.680470182444609,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2011:Q3:pre_advance:exact,2011-10-26,2011:Q3,1.9151305097337552,2.4637,-0.5485694902662444,26,4.418984529604549,2.1021380852847296,-1.6959430024169126,0.5480472065667407,-0.18700757555097436,4.017268595018485,True,-1.5425789441996556,5.372839963667166,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2011:Q4:pre_advance:exact,2012-01-26,2011:Q4,2.5119444400984148,2.7523,-0.2403555599015852,27,4.2857723968040355,2.0702107131410648,-1.6533287638059562,0.49491814279778223,0.44173372695735,4.58215515323948,True,-0.8932491599654595,5.917138040162289,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2012:Q1:pre_advance:exact,2012-04-26,2012:Q1,2.6581713872564583,2.2043,0.4538713872564583,28,4.142175592674255,2.0352335474520498,-1.654415178395364,0.5158368846089488,0.6229378398044085,4.693404934708508,True,-0.6894898949633568,6.005832669476273,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2012:Q2:pre_advance:exact,2012-07-26,2012:Q2,2.3805589828766736,1.5369,0.8436589828766736,29,3.9943931588679438,1.998597798174496,-1.7004793121901358,0.6070648549913724,0.38196118470217755,4.37915678105117,True,-0.9068418542678724,5.66795982002122,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2012:Q3:pre_advance:exact,2012-10-25,2012:Q3,2.040732580983052,2.0138,0.0269325809830522,30,3.8635253040521036,1.9655852319480078,-1.5948224354704246,0.45949461625137844,0.07514734903504428,4.00631781293106,True,-1.1923674168688794,5.273832578834984,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2012:Q4:pre_advance:exact,2013-01-29,2012:Q4,2.280117534260134,-0.1435,2.423617534260134,31,3.739347408132118,1.9337392296098557,-2.3638148177852303,1.526908035209273,0.3463783046502784,4.213856763869989,False,-0.9006004511419827,5.4608355196622504,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2013:Q1:pre_advance:exact,2013-04-25,2013:Q1,1.1815766684837352,2.5024,-1.320823331516265,32,3.74762741821742,1.9358789781950265,-1.81225717469567,0.7986002116617693,-0.7543023097112913,3.1174556466787617,True,-2.002660890139464,4.3658142271069345,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2013:Q2:pre_advance:exact,2013-07-30,2013:Q2,2.519701700428011,1.6737,0.8460017004280111,33,3.726193834025757,1.9303351610603163,-1.672671047838425,0.5967042885542035,0.5893665393676948,4.450036861488328,True,-0.6554170904740046,5.694820491330027,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2013:Q3:pre_advance:exact,2013-11-06,2013:Q3,2.099963301346884,2.8463,-0.7463366986531157,34,3.619070574771359,1.9023854958370974,-1.6390031666911005,0.5599127707559671,0.19757780550978676,4.0023487971839815,True,-1.0291823813406404,5.229108984034409,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2013:Q4:pre_advance:exact,2014-01-29,2013:Q4,2.6913894106754146,3.2279,-0.5365105893245854,35,3.551181528945583,1.8844578872836568,-1.5931065849671762,0.5009169300671015,0.8069315233917578,4.575847297959071,True,-0.40826798006041676,5.791046801411246,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2014:Q1:pre_advance:exact,2014-04-29,2014:Q1,2.885331400078016,0.1079,2.777431400078016,36,3.4731598242871895,1.8636415493026521,-2.652005078463341,1.8376508626830148,1.0216898507753638,4.7489729493806685,False,-0.1800861616299123,5.950748961785944,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2014:Q2:pre_advance:exact,2014-07-29,2014:Q2,1.3107508272494848,3.9481,-2.6373491727505156,37,3.5350740553719597,1.8801792614992752,-2.5341055085191497,1.7136356201154326,-0.5694284342497904,3.19093008874876,False,-1.7818688503465385,4.403370504845508,True,expanding_residual_calibrated_gaussian
ar,exact,pre_advance,A,2014:Q3:pre_advance:exact,2014-10-29,2014:Q3,3.238982377191952,3.549,-0.310017622808048,38,3.6858404803339364,1.9198542862243313,-1.5842256813476125,0.4685886969608865,1.3191280909676206,5.158836663416283,True,0.08110309127753057,6.396861663106373,True,expanding_residual_calibrated_gaussian
