model_id,checkpoint_id,target_id,exact,pseudo,exact_minus_pseudo_RMSE
ar,pre_advance,A,7.136876466075766,7.136876466075766,0.0
ar,pre_second,S,6.942115480721942,6.942115480721942,0.0
ar,pre_third,T,6.853900266254954,6.853900266254954,0.0
bridge,pre_advance,A,4.873697083215683,4.853299396730429,0.020397686485254418
bridge,pre_second,S,4.54265384858136,4.542167880186523,0.0004859683948374993
bridge,pre_third,T,4.4019297631577015,4.398694165093339,0.003235598064362577
indicator_revision_only_dfm_kalman_em,pre_advance,A,3.8564125474777735,3.8667653871861147,-0.010352839708341222
indicator_revision_only_dfm_kalman_em,pre_second,S,0.5997128541946206,0.5991036053382641,0.0006092488563564924
indicator_revision_only_dfm_kalman_em,pre_third,T,0.3711644509378306,0.37112273077746893,4.172016036169124e-05
joint_indicator_revision_dfm_full_kalman_em,pre_advance,A,3.8048272758302932,3.8035859275610546,0.0012413482692386069
joint_indicator_revision_dfm_full_kalman_em,pre_second,S,0.6402321314452203,0.6397055644348428,0.0005265670103774545
joint_indicator_revision_dfm_full_kalman_em,pre_third,T,0.37113834776674076,0.3711507671909406,-1.2419424199827667e-05
midas_umidas,pre_advance,A,13.366462459510315,13.55397343598597,-0.1875109764756555
midas_umidas,pre_second,S,4.770330173181986,4.762771639416986,0.007558533764999709
midas_umidas,pre_third,T,6.1904905088081,6.186914482958165,0.003576025849935327
monthly_mixed_frequency_kalman_em,pre_advance,A,4.709589388584287,4.710572869899431,-0.0009834813151439192
monthly_mixed_frequency_kalman_em,pre_second,S,0.6082852627940439,0.6081282669672763,0.00015699582676764745
monthly_mixed_frequency_kalman_em,pre_third,T,0.37712212747427415,0.37621443140751104,0.0009076960667631084
no_revision,pre_advance,A,7.26944298718703,7.26944298718703,0.0
no_revision,pre_second,S,0.5696627235545563,0.5696627235545563,0.0
no_revision,pre_third,T,0.36218671255306983,0.36218671255306983,0.0
release_dfm,pre_advance,A,3.0658631497628757,3.051686880620195,0.014176269142680553
release_dfm,pre_second,S,0.6907381923525489,0.6904136306729566,0.00032456167959227233
release_dfm,pre_third,T,0.4446166872002175,0.4446354112046444,-1.8724004426873275e-05
revision_dfm_kalman_em,pre_advance,A,3.5840872522787186,3.57088459441811,0.013202657860608813
revision_dfm_kalman_em,pre_second,S,0.66045495551236,0.6602711636334132,0.00018379187894679294
revision_dfm_kalman_em,pre_third,T,0.37189409650013344,0.3718221420689141,7.195443121932321e-05
standard_dfm,pre_advance,A,3.0658631497628757,3.051686880620195,0.014176269142680553
standard_dfm,pre_second,S,2.9233852978395793,2.91628596847266,0.00709932936691926
standard_dfm,pre_third,T,2.9071466913431796,2.9061285663703322,0.0010181249728473674
