model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,exact,pre_advance,DELTA_SA,24,0.621782452530642,0.349892967798293,0.16752940509087086,1.0,1.0,0.6666666666666666,1.0,0.0,,,
bridge,exact,pre_advance,DELTA_SA,24,0.6865121827964132,0.39941849562144655,0.030975220340969934,1.104103501155947,0.5606967676011915,0.6666666666666666,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.49717459031303635,0.29162866923782504,0.0,1.0,42.916666666666664,8.922090331805355e-05,8.974665031203716e-05,9.98291613805056e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,24,0.583370833062402,0.4091235400914058,0.0031553699509597466,0.9382233781093283,0.8569282814294399,0.4583333333333333,1.0,42.708333333333336,9.216182980243851e-05,9.276302974532508e-05,9.925439501345875e-05
midas_umidas,exact,pre_advance,DELTA_SA,24,16.056106443905286,5.446014296917849,-0.3817488226775623,25.822707570078983,0.16871293154905392,0.5833333333333334,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,24,0.6552762286732907,0.33391535264584454,-0.0436951690902788,1.0538673550633821,0.9049454922029123,0.5833333333333334,1.0,34.958333333333336,9.479560253411088e-05,9.572414527079827e-05,9.992598888541152e-05
no_revision,exact,pre_advance,DELTA_SA,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.49717459031303635,0.29162866923782504,0.0,1.0,0.0,,,
release_dfm,exact,pre_advance,DELTA_SA,24,0.5828840492932041,0.2521569720984922,-0.05436685842810018,0.937440493730368,0.9042648631710247,0.625,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,24,0.5558734420610614,0.2926445385235672,0.008643867291140287,0.8939998866141489,0.7830839051369367,0.625,1.0,26.458333333333332,9.20896261179362e-05,9.16431901695015e-05,9.810417224479594e-05
standard_dfm,exact,pre_advance,DELTA_SA,24,0.5828840492932041,0.2521569720984922,-0.05436685842810018,0.937440493730368,0.9042648631710247,0.625,1.0,0.0,,,
