model_id,timing_mode,checkpoint_id,target_id,n_seeds,seeds,rmse_min,rmse_median,rmse_max,rmse_range,convergence_rate_min,convergence_rate_median,convergence_rate_max,median_relative_llf_improvement_max
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,5.506671416529649,5.523429965585593,5.542880363048513,0.036208946518864416,1.0,1.0,1.0,9.186174837244674e-05
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.4081825760387582,0.4153157892328837,0.416273718120271,0.008091142081512792,1.0,1.0,1.0,9.499954859884348e-05
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2325197694532252,0.2333215102591984,0.2334229723815296,0.0009032029283043974,1.0,1.0,1.0,9.533974039959437e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,5.486515049342104,5.514714725232118,5.5364195487612795,0.049904499419175075,1.0,1.0,1.0,9.241075878726744e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.4080103136107962,0.4151272751494006,0.4161027530647342,0.008092439453938005,1.0,1.0,1.0,9.4460981918994e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2325148445776275,0.2333183148667129,0.2334197571105766,0.0009049125329491092,1.0,1.0,1.0,9.476091250198796e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,5.6703753949795015,5.875890373168719,5.923603028643259,0.2532276336637578,1.0,1.0,1.0,9.356711648939926e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.5377032774833733,0.5748812619322413,0.5826268379945956,0.04492356051122226,1.0,1.0,1.0,9.338044740475246e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2345859763543717,0.2348914161594245,0.2351550607279172,0.0005690843735454976,1.0,1.0,1.0,9.39255963364114e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,5.6697718095602925,5.877284647282161,5.928365233806127,0.2585934242458343,1.0,1.0,1.0,9.39464129836768e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.5406690114920284,0.5758716271193047,0.5840203788345778,0.04335136734254941,1.0,1.0,1.0,9.337748213935188e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.234572926032148,0.2348761904526665,0.2351340257301836,0.0005610996980356109,1.0,1.0,1.0,9.381486319417532e-05
revision_dfm_kalman_em,exact,pre_advance,A,5,1;2;3;4;5,5.667158948511207,5.726735442014156,5.850169767129955,0.18301081861874824,1.0,1.0,1.0,9.482693077434802e-05
revision_dfm_kalman_em,exact,pre_second,S,5,1;2;3;4;5,0.7307315990538492,0.7307689113367175,0.7316711788116219,0.0009395797577727016,1.0,1.0,1.0,9.483801369793924e-05
revision_dfm_kalman_em,exact,pre_third,T,5,1;2;3;4;5,0.2355194244095715,0.2357259917729563,0.2357921323783139,0.0002727079687424028,1.0,1.0,1.0,9.63034690618854e-05
revision_dfm_kalman_em,pseudo,pre_advance,A,5,1;2;3;4;5,5.657869595899791,5.749226577345276,5.844408949548054,0.18653935364826335,1.0,1.0,1.0,9.499165755126336e-05
revision_dfm_kalman_em,pseudo,pre_second,S,5,1;2;3;4;5,0.7294265088463365,0.7301370068195933,0.7304285385095671,0.001002029663230597,1.0,1.0,1.0,9.460042690351102e-05
revision_dfm_kalman_em,pseudo,pre_third,T,5,1;2;3;4;5,0.2355268300175177,0.235735286438679,0.2358000731277011,0.00027324311018339653,1.0,1.0,1.0,9.684977363210394e-05
