model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
no_revision,pseudo,2021:Q4:pre_third:pseudo,2022-03-31,pre_third,T,2021:Q4,6.9874,,,not_available,6.8946,0.09280000000000044,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,pseudo,2021:Q4:pre_third:pseudo,2022-03-31,pre_third,T,2021:Q4,7.088934170491774,,,not_available,6.8946,0.19433417049177404,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,pseudo,2021:Q4:pre_third:pseudo,2022-03-31,pre_third,T,2021:Q4,7.0156538435817914,0.1428929262300955,0.3780118069982676,model_implied_state_space,6.8946,0.12105384358179183,False,True,27,-1786.0744144686992,-3314.5761638532667,-1786.0744144686992,0.17155064664484598,9.598603101827374e-05,27.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,pseudo,2021:Q4:pre_third:pseudo,2022-03-31,pre_third,T,2021:Q4,5.614289398918846,,,not_available,6.8946,-1.2803106010811538,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,2.6927488969272595,,,not_available,-1.4142,4.10694889692726,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,5.227154474813036,,,not_available,-1.4142,6.641354474813036,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,5.661972179095505,2.8551785460251975,1.6897273584886994,model_implied_state_space,-1.4142,7.076172179095505,False,True,46,-3351.958172667921,-5371.268032518843,-3351.958172667921,0.33020783192523595,9.847284052438539e-05,46.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,5.110243431389536,2.03884171121229,1.4278801459549362,model_implied_state_space,-1.4142,6.524443431389536,False,True,48,-3322.1913098912046,-5379.491690052138,-3322.1913098912046,0.26839286959648234,8.075707052308416e-05,48.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,0.898970140648296,,,not_available,-1.4142,2.313170140648296,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,5.436717824734956,4.014426515724943,2.0036033828392643,model_implied_state_space,-1.4142,6.850917824734956,False,True,30,-5981.90197003363,-8025.500464250411,-5981.90197003363,0.5979071422016204,9.992598888191642e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,2.755991365930564,,,not_available,-1.4142,4.170191365930564,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,6.932443866578865,,,not_available,-1.4142,8.346643866578864,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,5.731354846028941,2.666250978875364,1.6328658790223294,model_implied_state_space,-1.4142,7.145554846028941,False,True,27,-1797.105702530548,-3333.7910812436126,-1797.105702530548,0.17154098338460244,9.539184461312648e-05,27.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,exact,2022:Q1:pre_advance:exact,2022-04-27,pre_advance,A,2022:Q1,6.932443866578865,,,not_available,-1.4142,8.346643866578864,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,2.6927488969272595,,,not_available,-1.4142,4.10694889692726,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,5.395493194750157,,,not_available,-1.4142,6.8096931947501576,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,5.669141461795933,2.855401084810863,1.6897932077064528,model_implied_state_space,-1.4142,7.083341461795933,False,True,47,-3351.4612458554843,-5371.020049752629,-3351.4612458554843,0.2584762621891059,7.709450345161716e-05,47.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,5.112503589992006,2.0385964915137764,1.4277942749268104,model_implied_state_space,-1.4142,6.526703589992006,False,True,48,-3321.9505822310903,-5379.244098096302,-3321.9505822310903,0.27322782567125614,8.221770223372026e-05,48.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,0.8363165284230893,,,not_available,-1.4142,2.2505165284230895,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,5.440082703562381,4.014238510924995,2.0035564656193237,model_implied_state_space,-1.4142,6.854282703562381,False,True,30,-5983.494801796293,-8026.848095630857,-5983.494801796293,0.5982077376793313,9.994961427105885e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,2.755991365930564,,,not_available,-1.4142,4.170191365930564,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,7.007425291976666,,,not_available,-1.4142,8.421625291976666,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,5.748959846518179,2.6662004845402607,1.6328504170744669,model_implied_state_space,-1.4142,7.163159846518179,False,True,27,-1796.8237274043975,-3333.6552463383387,-1796.8237274043975,0.17148846894906455,9.53776002489344e-05,27.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,pseudo,2022:Q1:pre_advance:pseudo,2022-04-30,pre_advance,A,2022:Q1,7.007425291976666,,,not_available,-1.4142,8.421625291976666,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,2.8477678735606102,,,not_available,-1.5101,4.35786787356061,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,5.242373606153068,,,not_available,-1.5101,6.7524736061530675,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-0.5297360085545062,0.36972070309201577,0.6080466290442007,model_implied_state_space,-1.5101,0.9803639914454938,False,True,46,-3360.3441782522227,-5372.350370231944,-3360.3441782522227,0.301731318079419,8.9757019685035e-05,46.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.0966944846924855,0.3601025475020919,0.6000854501669673,model_implied_state_space,-1.5101,0.41340551530751446,False,True,46,-3332.012623669189,-5380.545588465229,-3332.012623669189,0.3224764692504323,9.674288949738034e-05,46.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-2.0627838654587087,,,not_available,-1.5101,-0.5526838654587087,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-0.8525822491329285,0.3627429036452901,0.6022814156565767,model_implied_state_space,-1.5101,0.6575177508670715,False,True,30,-6002.810123287169,-8069.8821851924995,-6002.810123287169,0.5860690577828791,9.760666002187911e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.4142,,,not_available,-1.5101,0.0959000000000001,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.4208731240480543,,,not_available,-1.5101,0.08922687595194567,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,-1.6754157676945791,0.3941675480748866,0.6278276420124289,model_implied_state_space,-1.5101,-0.16531576769457912,False,True,28,-1799.6429408578028,-3334.807471660621,-1799.6429408578028,0.16450829887435248,9.135252019942062e-05,28.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,exact,2022:Q1:pre_second:exact,2022-05-25,pre_second,S,2022:Q1,7.4996192020750065,,,not_available,-1.5101,9.009719202075006,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,2.8477678735606102,,,not_available,-1.5101,4.35786787356061,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,5.280994308497148,,,not_available,-1.5101,6.791094308497147,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-0.529673645259674,0.36971669094653514,0.6080433298265306,model_implied_state_space,-1.5101,0.980426354740326,False,True,46,-3359.921386443969,-5372.133805065623,-3359.921386443969,0.2968292339387517,8.831001586098619e-05,46.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-1.0966641220389177,0.3601098474335824,0.6000915325461461,model_implied_state_space,-1.5101,0.4134358779610823,False,True,46,-3331.5904558410484,-5380.329135396512,-3331.5904558410484,0.317653524238267,9.530821547275133e-05,46.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-2.002622870635724,,,not_available,-1.5101,-0.4925228706357241,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-0.8525566846783996,0.36274099998932463,0.60227983528367,model_implied_state_space,-1.5101,0.6575433153216004,False,True,30,-6004.001963502234,-8071.104270468266,-6004.001963502234,0.5862323684250441,9.761447993189536e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-1.4142,,,not_available,-1.5101,0.0959000000000001,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-1.4211484299026909,,,not_available,-1.5101,0.08895157009730914,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,-1.6736709526336604,0.39419791362573964,0.6278518245778534,model_implied_state_space,-1.5101,-0.1635709526336604,False,True,28,-1799.3697137397796,-3334.6629431746023,-1799.3697137397796,0.16445671038150067,9.133773359068436e-05,28.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,pseudo,2022:Q1:pre_second:pseudo,2022-05-31,pre_second,S,2022:Q1,7.513546048743893,,,not_available,-1.5101,9.023646048743894,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,2.898318076296747,,,not_available,-1.574,4.472318076296747,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,4.397170357973337,,,not_available,-1.574,5.971170357973337,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-1.4662231048609176,0.14438780159145992,0.37998394912345956,model_implied_state_space,-1.574,0.10777689513908251,False,True,44,-3361.735869098003,-5373.699955361003,-3361.735869098003,0.2592227622012615,7.708092195218614e-05,44.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-1.5011055572938314,0.1412330498317522,0.3758098586143692,model_implied_state_space,-1.574,0.07289444270616863,False,True,44,-3332.459007543826,-5381.854707689047,-3332.459007543826,0.31008749326201723,9.301408838531678e-05,44.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-3.3350531628337814,,,not_available,-1.574,-1.7610531628337813,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-1.4368964030032974,0.14585643601771192,0.3819115552293645,model_implied_state_space,-1.574,0.13710359699670271,False,True,30,-6047.61711568817,-8091.353649054499,-6047.61711568817,0.5739446646639408,9.487957297722781e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-1.5101,,,not_available,-1.574,0.06390000000000007,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-1.486438038947477,,,not_available,-1.574,0.08756196105252312,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,-1.529886601154697,0.14238618623167815,0.37734094163193865,model_implied_state_space,-1.574,0.044113398845303076,False,True,27,-1804.7147860221874,-3336.900559022152,-1804.7147860221874,0.17980193689322732,9.95639159074225e-05,27.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,exact,2022:Q1:pre_third:exact,2022-06-28,pre_third,T,2022:Q1,7.165980600046931,,,not_available,-1.574,8.73998060004693,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,2.898318076296747,,,not_available,-1.574,4.472318076296747,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,4.378457424370961,,,not_available,-1.574,5.9524574243709605,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-1.466223565598069,0.1443877985018737,0.3799839450580428,model_implied_state_space,-1.574,0.10777643440193097,False,True,44,-3361.7570971519176,-5373.723081333466,-3361.7570971519176,0.25898797185709554,7.701062537367066e-05,44.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-1.5011045022842708,0.1412330654274952,0.37580987936388155,model_implied_state_space,-1.574,0.07289549771572923,False,True,44,-3332.479996523511,-5381.87777356938,-3332.479996523511,0.3097896993776885,9.292418515945887e-05,44.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-3.355274824742177,,,not_available,-1.574,-1.7812748247421768,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-1.4369231697784928,0.14585705913390706,0.3819123710144869,model_implied_state_space,-1.574,0.1370768302215073,False,True,30,-6048.941863502767,-8092.68867326132,-6048.941863502767,0.574037395290361,9.487412390820404e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-1.5101,,,not_available,-1.574,0.06390000000000007,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-1.4863797038973554,,,not_available,-1.574,0.08762029610264466,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,-1.5298772233816003,0.1423861664359763,0.37734091540141296,model_implied_state_space,-1.574,0.044122776618399806,False,True,27,-1804.7324042479352,-3336.91347950901,-1804.7324042479352,0.17980114321062501,9.956250512836063e-05,27.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,pseudo,2022:Q1:pre_third:pseudo,2022-06-30,pre_third,T,2022:Q1,7.158311621786247,,,not_available,-1.574,8.732311621786247,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,2.353392101797345,,,not_available,-0.9335,3.286892101797345,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,1.979721387940912,,,not_available,-0.9335,2.913221387940912,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,3.5824247890735457,3.2292982022056096,1.7970248195853082,model_implied_state_space,-0.9335,4.515924789073546,False,True,42,-3402.115379362408,-5415.776296986152,-3402.115379362408,0.2589754615792117,7.609373362414173e-05,42.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,3.6751289621825145,2.352092804104708,1.5336534172050438,model_implied_state_space,-0.9335,4.6086289621825145,False,True,42,-3372.8522564709883,-5423.9175229465145,-3372.8522564709883,0.3102691371404944,9.195441380956429e-05,42.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,8.67252640200315,,,not_available,-0.9335,9.60602640200315,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,4.173306926031129,4.4859088166037475,2.1179964156258024,model_implied_state_space,-0.9335,5.10680692603113,False,True,30,-6063.46395130229,-8113.248108912679,-6063.46395130229,0.5797759539073013,9.559303773883749e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,2.6426962497979356,,,not_available,-0.9335,3.5761962497979356,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,3.91140028943172,,,not_available,-0.9335,4.84490028943172,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,3.477181148535629,2.996378590349151,1.7310050809715005,model_implied_state_space,-0.9335,4.4106811485356285,False,True,25,-1823.7510975997586,-3377.8592982082187,-1823.7510975997586,0.16442724571152212,9.01012915244093e-05,25.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,exact,2022:Q2:pre_advance:exact,2022-07-27,pre_advance,A,2022:Q2,3.91140028943172,,,not_available,-0.9335,4.84490028943172,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,2.353392101797345,,,not_available,-0.9335,3.286892101797345,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,1.9609501054029925,,,not_available,-0.9335,2.8944501054029925,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,3.581220268665388,3.229306730237721,1.7970271924035321,model_implied_state_space,-0.9335,4.514720268665387,False,True,42,-3402.131408680159,-5415.792492818905,-3402.131408680159,0.2587092094008767,7.601514972997046e-05,42.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,3.674052232141169,2.3520936496699836,1.53365369287528,model_implied_state_space,-0.9335,4.607552232141169,False,True,42,-3372.868029984642,-5423.933685993371,-3372.868029984642,0.30998498072176517,9.186977668246919e-05,42.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,8.648029966920248,,,not_available,-0.9335,9.581529966920248,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,4.172975919145955,4.486038734246463,2.1180270853429763,model_implied_state_space,-0.9335,5.1064759191459554,False,True,30,-6064.65760649996,-8114.616257641953,-6064.65760649996,0.5794813835627792,9.552567352176424e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,2.6426962497979356,,,not_available,-0.9335,3.5761962497979356,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,3.9036356193801227,,,not_available,-0.9335,4.837135619380122,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,3.4750008359802447,2.996369875819303,1.73100256378184,model_implied_state_space,-0.9335,4.408500835980245,False,True,25,-1823.7663492195109,-3377.8652420696967,-1823.7663492195109,0.16443067121599597,9.010241540549924e-05,25.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,pseudo,2022:Q2:pre_advance:pseudo,2022-07-31,pre_advance,A,2022:Q2,3.9036356193801227,,,not_available,-0.9335,4.837135619380122,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,2.3786224080862364,,,not_available,-0.5746,2.953222408086236,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
bridge,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,2.1683720273234908,,,not_available,-0.5746,2.742972027323491,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
indicator_revision_only_dfm_kalman_em,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-0.47509503305190304,0.3691023678198456,0.6075379558676525,model_implied_state_space,-0.5746,0.09950496694809696,False,True,45,-3406.1516240034894,-5437.531923355971,-3406.1516240034894,0.34015924509776596,9.982687170956864e-05,45.0,0,{},14,expanding,40,1965:Q3,,2,0.02
joint_indicator_revision_dfm_full_kalman_em,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-1.0381363511198023,0.35746493897208015,0.5978837169317125,model_implied_state_space,-0.5746,-0.4635363511198023,False,True,47,-3378.3079049536686,-5451.253635888572,-3378.3079049536686,0.3234817173201918,9.571508851408449e-05,47.0,0,{},14,expanding,40,1965:Q3,,2,0.02
midas_umidas,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-0.9485851893708985,,,not_available,-0.5746,-0.37398518937089853,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
monthly_mixed_frequency_kalman_em,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-0.5483266036020704,0.3626166430203687,0.6021765879045521,model_implied_state_space,-0.5746,0.026273396397929583,False,True,30,-6083.510901848554,-8134.028902135234,-6083.510901848554,0.5524916390013459,9.079472197325693e-05,30.0,0,{},14,expanding,40,1965:Q3,,2,0.02
no_revision,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-0.9335,,,not_available,-0.5746,-0.3589,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
release_dfm,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-0.8948544946442246,,,not_available,-0.5746,-0.3202544946442246,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
revision_dfm_kalman_em,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,-0.6470262264723061,0.3944748934544322,0.6280723632308878,model_implied_state_space,-0.5746,-0.07242622647230612,False,True,28,-1826.657682174382,-3360.8280313600912,-1826.657682174382,0.16202767729305378,8.864532777480669e-05,28.0,0,{},14,expanding,40,1965:Q3,,2,0.02
standard_dfm,exact,2022:Q2:pre_second:exact,2022-08-24,pre_second,S,2022:Q2,4.085303056804742,,,not_available,-0.5746,4.659903056804742,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
ar,pseudo,2022:Q2:pre_second:pseudo,2022-08-31,pre_second,S,2022:Q2,2.3786224080862364,,,not_available,-0.5746,2.953222408086236,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,2,0.02
