timing_mode,checkpoint_id,outcome_id,model_id,mean_squared_error,initial_model_count,final_model_count,n_obs_final_set,alpha,bootstrap_reps,block_length,included_in_mcs_alpha_10pct,elimination_step,p_value_at_elimination,test_stat_at_elimination,last_set_p_value,last_set_test_stat,method_note
exact,pre_advance,DELTA_SA,ar,0.04955865008890727,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,bridge,0.03852922016547675,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,indicator_revision_only_dfm_kalman_em,0.03430564749999997,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,joint_indicator_revision_dfm_full_kalman_em,0.09611316487962417,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,midas_umidas,0.4627170596317142,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,0.057083271092708915,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,no_revision,0.03430564749999997,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,release_dfm,0.0491583417453818,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,revision_dfm_kalman_em,0.1026724493186731,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,spf,0.03430564749999997,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_advance,DELTA_SA,standard_dfm,0.0491583417453818,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,ar,0.009680096426767636,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,bridge,0.041612204889880475,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,indicator_revision_only_dfm_kalman_em,0.023839854999999965,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,joint_indicator_revision_dfm_full_kalman_em,0.023624399318775927,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,midas_umidas,0.2218518679610877,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,monthly_mixed_frequency_kalman_em,0.02259204572177518,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,no_revision,0.023839854999999965,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,release_dfm,0.012686947880978497,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,revision_dfm_kalman_em,0.023615204513019943,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,spf,0.023839854999999965,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_second,DELTA_TS,standard_dfm,0.010498020026665486,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,ar,0.39639475637517624,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,bridge,0.3083313620907423,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,indicator_revision_only_dfm_kalman_em,0.278164175,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,joint_indicator_revision_dfm_full_kalman_em,0.3279024591629901,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,midas_umidas,10.825270747699882,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,monthly_mixed_frequency_kalman_em,0.35081885114353084,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,no_revision,0.278164175,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,release_dfm,0.4194748547662251,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,revision_dfm_kalman_em,0.3296404052803671,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
exact,pre_third,DELTA_MT,spf,0.278164175,11,11,4,0.1,25,1,True,,,,,,Block-bootstrap MCS-style elimination using average squared-loss differentials.
